,Ljung-Box p-value,Jarque-Bera p-value,Heteroskedasticity p-value,Shapiro-Wilk p-value,MSE
IBM,0.970359369368199,0.0,5.424350446798069e-06,5.881119378973605e-55,18.709419503370672
AMD,0.7413891325622813,0.0,1.141285594670331e-09,2.554654453288104e-29,13.965038562195073
INTC,0.9678680793766802,0.0,1.6713938250943326e-19,2.89275956356407e-54,4.350276791996558
QCOM,0.901341302475235,0.0,3.839163166362308e-09,1.098776708928058e-41,18.379554395902264
